Order ID,Order Date,Month,Year,Customer Name,Customer Type,Segment,Region,Country,State,City,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Shipping Cost,Sales,Profit,Profit Margin,Order Priority,Payment Mode
ORD-10000,2025-08-11,Aug,2025,Gary Johnson,VIP,Corporate,Central,Samoa,Maryland,North Jamie,Technology,Phones,Pm,2,298.42,0.07,7.43,555.06,140.18,0.25,High,Cash
ORD-10001,2025-06-06,Jun,2025,Brandon Bauer,VIP,Corporate,West,Trinidad and Tobago,North Carolina,New Jenna,Technology,Accessories,Cultural,7,632.14,0.06,18.0,4159.48,493.77,0.12,High,UPI
ORD-10002,2024-06-28,Jun,2024,Ashley Scott,Returning,Consumer,South,Uruguay,New Jersey,Thomasport,Furniture,Tables,Finish,7,617.08,0.11,11.28,3844.41,37.34,0.01,High,UPI
ORD-10003,2024-10-01,Oct,2024,Cory Salazar,VIP,Consumer,South,Tuvalu,Oregon,Barrettberg,Office Supplies,Paper,Project,1,11.98,0.13,40.89,10.42,1.06,0.1,Low,UPI
ORD-10004,2025-01-20,Jan,2025,Joseph Pena,New,Consumer,Central,Senegal,Arkansas,Chavezborough,Furniture,Bookcases,Raise,1,214.87,0.01,10.74,212.72,-9.79,-0.05,Medium,Cash
ORD-10005,2025-09-29,Sep,2025,Timothy Wilkins,Returning,Consumer,North,Sao Tome and Principe,Minnesota,Lake Juliestad,Office Supplies,Paper,However,5,612.09,0.27,36.61,2234.13,-1.38,0.0,High,Card
ORD-10006,2025-07-05,Jul,2025,Krystal White,New,Consumer,West,Falkland Islands (Malvinas),Washington,West Lori,Furniture,Bookcases,Political,5,597.46,0.07,9.7,2778.19,-55.35,-0.02,Low,UPI
ORD-10007,2023-03-06,Mar,2023,Angela Rodriguez,New,Consumer,West,Switzerland,Montana,South Laura,Office Supplies,Paper,Opportunity,10,618.21,0.09,46.15,5625.71,861.72,0.15,High,Net Banking
ORD-10008,2023-12-14,Dec,2023,Jessica Garcia,VIP,Consumer,North,Kazakhstan,South Dakota,Stewartfurt,Furniture,Chairs,Image,2,397.88,0.26,41.56,588.86,90.87,0.15,Medium,UPI
ORD-10009,2025-02-23,Feb,2025,Lauren Cruz,New,Consumer,South,Pakistan,Idaho,Port Davidmouth,Furniture,Chairs,Also,5,661.49,0.08,10.13,3042.85,353.67,0.12,High,UPI
ORD-10010,2024-07-27,Jul,2024,Melanie Stewart,Returning,Consumer,North,Philippines,Nevada,Parsonsside,Technology,Accessories,Walk,1,181.42,0.02,21.62,177.79,12.26,0.07,Low,Card
ORD-10011,2025-03-27,Mar,2025,Sara Walker,New,Consumer,West,Botswana,Maine,New Saraview,Office Supplies,Storage,Task,2,171.24,0.07,14.68,318.51,64.08,0.2,Low,Net Banking
ORD-10012,2024-05-12,May,2024,Nancy Perkins,VIP,Corporate,North,Kenya,New Hampshire,Kevinborough,Office Supplies,Storage,Adult,10,307.0,0.08,42.87,2824.4,531.69,0.19,Critical,Net Banking
ORD-10013,2023-06-06,Jun,2023,Rhonda Harris,New,Corporate,North,French Southern Territories,Iowa,Laurenview,Furniture,Bookcases,Tax,6,39.09,0.06,29.05,220.47,2.53,0.01,Medium,Card
ORD-10014,2025-07-21,Jul,2025,Ana Pittman,Returning,Corporate,South,Finland,Iowa,Leeshire,Technology,Phones,School,6,326.13,0.07,26.2,1819.81,-168.71,-0.09,Low,UPI
ORD-10015,2023-02-16,Feb,2023,Melissa Williams,New,Consumer,North,Poland,Virginia,Larryland,Furniture,Bookcases,Ask,5,326.42,0.17,26.29,1354.64,357.18,0.26,Low,Cash
ORD-10016,2023-07-21,Jul,2023,Michael Wilson,Returning,Home Office,East,Pakistan,Florida,Lake Keith,Office Supplies,Paper,Now,1,727.12,0.25,41.87,545.34,-3.37,-0.01,Low,Net Banking
ORD-10017,2023-12-13,Dec,2023,Carolyn Franklin,VIP,Consumer,North,Nigeria,Missouri,Lake Evanchester,Technology,Phones,Huge,8,90.17,0.28,10.55,519.38,6.9,0.01,Medium,Card
ORD-10018,2025-01-31,Jan,2025,Deanna Jenkins,VIP,Home Office,South,Spain,Indiana,Lake Jacob,Technology,Accessories,Property,9,578.51,0.29,9.83,3696.68,668.96,0.18,Critical,Net Banking
ORD-10019,2025-09-17,Sep,2025,Vincent Bryan,New,Consumer,South,Sierra Leone,New Hampshire,Charleshaven,Technology,Laptops,World,10,663.4,0.21,35.01,5240.86,-267.23,-0.05,Critical,UPI
ORD-10020,2023-07-29,Jul,2023,Abigail Watson,New,Home Office,North,Puerto Rico,Texas,South Robert,Office Supplies,Binders,On,6,172.1,0.3,47.26,722.82,150.98,0.21,Critical,Card
ORD-10021,2024-07-13,Jul,2024,Joel Mcgrath,New,Consumer,West,Botswana,Connecticut,Travisview,Furniture,Tables,By,8,482.01,0.15,7.17,3277.67,213.21,0.07,High,Net Banking
ORD-10022,2023-08-21,Aug,2023,Derek Chaney,VIP,Consumer,West,Croatia,New Mexico,Johnsonchester,Office Supplies,Binders,Western,3,82.43,0.27,45.74,180.52,31.98,0.18,High,UPI
ORD-10023,2025-11-12,Nov,2025,Michael Castillo,New,Consumer,South,Lebanon,California,South Tammy,Furniture,Chairs,Sense,7,569.6,0.04,19.0,3827.71,-61.91,-0.02,Medium,Cash
ORD-10024,2024-10-15,Oct,2024,Charles Hester,VIP,Corporate,East,Armenia,Pennsylvania,Gillview,Office Supplies,Binders,Letter,9,259.88,0.16,40.14,1964.69,265.14,0.13,Medium,Net Banking
ORD-10025,2024-07-29,Jul,2024,Michael Perez,Returning,Home Office,Central,Romania,New Hampshire,New Lucas,Furniture,Chairs,World,2,402.42,0.19,15.6,651.92,95.12,0.15,Medium,Cash
